"b_RE[1]","b_RE[2]","b_RE[3]","b_HIV","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]"
1.212,2.1302,3.1509,1.191,-0.1241,-0.402,-0.5099,1.439,0.0155,0.4754
1.0652,2.1732,3.7925,1.2781,-0.204,-0.7924,-0.3257,1.2857,0.1417,0.5623
0.9918,1.5346,3.1185,0.799,-0.73,-0.7499,-0.1599,0.8693,0.3386,0.317
1.3468,2.1791,3.2929,1.5506,-0.247,-0.9457,-0.3642,1.0659,0.5137,0.4292
2.0688,2.3899,4.5478,0.8835,-0.2956,-0.8643,-0.0631,0.524,0.7023,0.19
1.1439,2.2841,3.4019,1.6348,-0.5947,-0.1538,-0.3422,0.997,0.0084,0.4174
1.7867,2.3102,4.654,1.6064,-0.3092,-0.2191,-0.324,1.1549,-0.6808,0.4174
0.9419,1.8896,3.4285,1.6786,-0.7592,-0.4476,-0.4287,1.0612,0.4156,0.669
0.8691,2.5777,2.5128,0.9744,0.1019,-0.5833,-0.5044,1.5641,0.1269,0.4818
1.518,2.2178,4.4387,2.0078,-0.4339,-0.6839,-0.1228,0.7862,-0.0254,0.4834
1.0073,1.8774,4.5512,0.7799,-0.5587,-0.4856,-0.1226,1.2564,-0.2102,0.0498
0.9304,1.5221,3.6441,2.1408,-0.4559,-0.7211,-0.0952,1.5875,-0.3966,0.5269
1.4946,1.3368,4.2519,1.5967,-0.6722,-0.2381,-0.7311,0.8867,-0.1721,0.9238
1.0587,1.7103,3.5512,1.9605,-0.3665,-0.448,-0.507,0.661,0.3955,0.6923
1.3841,2.5093,6.6524,1.4676,-0.2503,-0.8537,-0.4926,1.0422,-0.0105,0.3522
1.6767,1.8906,1.9313,1.5783,-0.4005,-0.2737,-0.5635,0.7871,0.6189,0.3092
1.2845,1.9506,3.488,1.3788,-0.4729,-0.5288,-0.2479,1.4125,0.1616,0.2665
1.3472,2.2131,2.6242,1.6689,-0.4007,-0.231,-0.5326,1.1019,0.1836,0.3965
0.9398,2.4023,1.9152,1.6544,0.1375,-0.2544,-0.7285,1.7926,0.0198,0.2813
1.624,1.9263,4.9314,1.7942,-0.4566,-0.329,-0.6217,0.7495,0.113,0.6503
1.3033,2.1843,3.5899,0.7921,-0.5361,-0.6319,-0.134,1.3349,-0.3747,0.4833
1.0448,0.9789,2.6854,1.9864,-0.5391,-0.4369,-0.677,1.3857,-0.3383,0.909
0.8803,1.6259,3.3924,1.7578,-0.8116,-0.18,-0.2218,0.7183,-0.6386,0.3058
2.2413,1.4202,2.419,0.614,-0.2749,-0.7878,-0.2909,1.1843,0.1185,0.7164
0.8151,1.0347,2.9569,1.9766,-0.3338,-0.5545,-0.1513,1.2405,0.3244,0.3262
1.1658,1.7924,2.1782,1.645,-0.3295,-0.6599,-0.5065,1.1856,0.3573,0.741
1.1338,2.6161,3.6047,1.6013,-0.2985,-0.0316,-0.4014,1.0834,-0.3068,0.7551
1.2583,1.7252,3.2113,1.2692,-0.1567,-1.0917,-0.0208,1.2183,0.9924,0.3069
0.837,1.3103,2.4998,1.8365,-0.8229,-0.682,-0.6066,1.7482,0.1122,0.3031
0.8156,1.9779,3.1324,1.1689,-0.357,-0.7913,-0.2622,1.102,0.398,0.379
1.4035,2.0551,4.856,1.2747,-0.2285,-0.3384,-0.1443,0.8818,0.338,0.3497
1.209,2.4947,3.1939,1.5588,-0.2479,-0.3297,-0.4852,1.022,0.1676,0.2188
1.9909,1.8228,3.8839,1.8259,-0.3126,-1.1187,-0.4161,1.3385,0.5686,0.2962
1.0795,1.7805,2.8922,1.6018,-0.3889,-1.2272,-0.4066,0.8961,1.0613,0.4539
